,VideoFrames,Speeds
0,Frame0.jpg,28.105569
1,Frame1.jpg,28.105569
2,Frame2.jpg,28.106527
3,Frame3.jpg,28.130404
4,Frame4.jpg,28.109243
5,Frame5.jpg,28.088572
6,Frame6.jpg,28.034211
7,Frame7.jpg,28.018491
8,Frame8.jpg,27.986624
9,Frame9.jpg,28.016352
10,Frame10.jpg,27.981986
11,Frame11.jpg,27.978625
12,Frame12.jpg,28.032331
13,Frame13.jpg,27.960219
14,Frame14.jpg,27.937178
15,Frame15.jpg,27.940599
16,Frame16.jpg,27.908579
17,Frame17.jpg,27.898606
18,Frame18.jpg,27.855982
19,Frame19.jpg,27.795581
20,Frame20.jpg,27.850634
21,Frame21.jpg,27.839349
22,Frame22.jpg,27.824348
23,Frame23.jpg,27.759608
24,Frame24.jpg,27.830055
25,Frame25.jpg,27.761886
26,Frame26.jpg,27.694763
27,Frame27.jpg,27.761203
28,Frame28.jpg,27.691932
29,Frame29.jpg,27.666086
30,Frame30.jpg,27.723912
31,Frame31.jpg,27.639469
32,Frame32.jpg,27.612874
33,Frame33.jpg,27.638534
34,Frame34.jpg,27.606098
35,Frame35.jpg,27.593209
36,Frame36.jpg,27.573926
37,Frame37.jpg,27.561151
38,Frame38.jpg,27.559232
39,Frame39.jpg,27.528067
40,Frame40.jpg,27.522542
41,Frame41.jpg,27.531058
42,Frame42.jpg,27.493015
43,Frame43.jpg,27.487706
44,Frame44.jpg,27.440943
45,Frame45.jpg,27.439646
46,Frame46.jpg,27.412907
47,Frame47.jpg,27.401744
48,Frame48.jpg,27.396007
49,Frame49.jpg,27.357510
50,Frame50.jpg,27.365647
51,Frame51.jpg,27.347638
52,Frame52.jpg,27.302128
53,Frame53.jpg,27.309836
54,Frame54.jpg,27.266277
55,Frame55.jpg,27.266066
56,Frame56.jpg,27.238097
57,Frame57.jpg,27.239031
58,Frame58.jpg,27.227439
59,Frame59.jpg,27.209839
60,Frame60.jpg,27.224821
61,Frame61.jpg,27.181666
62,Frame62.jpg,27.170096
63,Frame63.jpg,27.154590
64,Frame64.jpg,27.104113
65,Frame65.jpg,27.081358
66,Frame66.jpg,27.071874
67,Frame67.jpg,27.073267
68,Frame68.jpg,27.039336
69,Frame69.jpg,27.041493
70,Frame70.jpg,27.018145
71,Frame71.jpg,27.009551
72,Frame72.jpg,26.996247
73,Frame73.jpg,26.954839
74,Frame74.jpg,26.968576
75,Frame75.jpg,26.913075
76,Frame76.jpg,26.903469
77,Frame77.jpg,26.908829
78,Frame78.jpg,26.860309
79,Frame79.jpg,26.869310
80,Frame80.jpg,26.870268
81,Frame81.jpg,26.836196
82,Frame82.jpg,26.836415
83,Frame83.jpg,26.843831
84,Frame84.jpg,26.775542
85,Frame85.jpg,26.732431
86,Frame86.jpg,26.730095
87,Frame87.jpg,26.730780
88,Frame88.jpg,26.708966
89,Frame89.jpg,26.692341
90,Frame90.jpg,26.690703
91,Frame91.jpg,26.646072
92,Frame92.jpg,26.644104
93,Frame93.jpg,26.627146
94,Frame94.jpg,26.569781
95,Frame95.jpg,26.564525
96,Frame96.jpg,26.577363
97,Frame97.jpg,26.535204
98,Frame98.jpg,26.541647
99,Frame99.jpg,26.529513
100,Frame100.jpg,26.501939
101,Frame101.jpg,26.508460
102,Frame102.jpg,26.456369
103,Frame103.jpg,26.460903
104,Frame104.jpg,26.447106
105,Frame105.jpg,26.444679
106,Frame106.jpg,26.432169
107,Frame107.jpg,26.348981
108,Frame108.jpg,26.368428
109,Frame109.jpg,26.328696
110,Frame110.jpg,26.287243
111,Frame111.jpg,26.286672
112,Frame112.jpg,26.273133
113,Frame113.jpg,26.258781
114,Frame114.jpg,26.264020
115,Frame115.jpg,26.216485
116,Frame116.jpg,26.229105
117,Frame117.jpg,26.205432
118,Frame118.jpg,26.184952
119,Frame119.jpg,26.187712
120,Frame120.jpg,26.163657
121,Frame121.jpg,26.115078
122,Frame122.jpg,26.115793
123,Frame123.jpg,26.106916
124,Frame124.jpg,26.093713
125,Frame125.jpg,26.026723
126,Frame126.jpg,26.059682
127,Frame127.jpg,26.043513
128,Frame128.jpg,26.026975
129,Frame129.jpg,26.036413
